"Company","Ticker","Sector","E","S","G","ESG","Status"
"3i","III.L","Financial Services",0.13,6.54,4.39,11.05,"Invest"
"Admiral Group","ADM.L","Nonlife Insurance",1.82,9.72,10.72,22.26,"Invest"
"Anglo American plc","AAL.L","Mining",10.15,9.32,3.43,22.9,"Invest"
"Antofagasta plc","ANTO.L","Mining",12.6,7.6,4.32,24.52,"Invest"
"Ashtead Group","AHT.L","Support Services",6.96,6.13,6.3,19.39,"Invest"
"Associated British Foods","ABF.L","Food Producers",10.47,10.96,4.52,25.95,"Invest"
"AstraZeneca","AZN.L","Pharmaceuticals & Biotechnology",1.99,12.89,7.33,22.21,"Invest"
"Aviva","AV.L","Life Insurance",0.33,6.53,4.41,11.27,"Invest"
"BAE Systems","BA.L","Aerospace & Defence",8.02,17.08,5.25,30.35,"Invest"
"Barclays","BARC.L","Banks",2.76,10.31,11.23,24.3,"Invest"
"Barratt Developments","BDEV.L","Household Goods & Home Construction",4.25,3.81,3.58,11.65,"Invest"
"BP","BP.L","Oil & Gas Producers",14.64,9.17,8.86,32.67,"Invest"
"British American Tobacco","BATS.L","Tobacco",4.94,12.43,9.42,26.78,"Invest"
"BT Group","BT-A.L","Fixed Line Telecommunications",2,8.23,6.77,17,"Invest"
"Bunzl","BNZL.L","Support Services",3.39,7.08,5.84,16.3,"Invest"
"Burberry","BRBY.L","Personal Goods",0.64,4.56,4.74,9.94,"Invest"
"Centrica","CNA.L","Utilities",9.62,11.12,4.82,25.57,"Invest"
"Coca-Cola HBC","CCH.L","Beverages",5.66,4.32,3.88,13.86,"Invest"
"Compass Group","CPG.L","Support Services",4.12,10.41,3.47,18,"Invest"
"Croda International","CRDA.L","Chemicals",11.43,4.64,4.7,20.78,"Invest"
"DCC plc","DCC.L","Support Services",10.1,7.35,4.28,21.73,"Invest"
"Diageo","DGE.L","Beverages",4.7,6.99,4.99,16.69,"Invest"
"Experian","EXPN.L","Support Services",0.01,6.73,4.7,11.44,"Invest"
"Foreign & Colonial Investment Trust","FCIT.L","Financial Services",3.58,9.76,7.58,21.91,"Invest"
"Flutter Entertainment","FLTR.L","Travel & Leisure",2.04,13.16,9.52,24.73,"Invest"
"Fresnillo plc","FRES.L","Mining",13.04,10.54,5.4,28.98,"Invest"
"Glencore","GLEN.L","Mining",13.01,10.6,12.42,36.03,"Invest"
"GSK plc","GSK.L","Pharmaceuticals & Biotechnology",2.85,10.24,5.8,18.89,"Invest"
"Hargreaves Lansdown","HL.L","Financial Services",2.1,9.12,11.58,22.8,"Invest"
"Hikma Pharmaceuticals","HIK.L","Pharmaceuticals and Biotechnology",3.63,16.9,8.93,29.45,"Invest"
"HSBC","HSBA.L","Banks",1.16,11.43,6.77,19.35,"Invest"
"IHG Hotels & Resorts","IHG.L","Travel & Leisure",8.94,7.12,3.39,19.44,"Invest"
"Imperial Brands","IMB.L","Tobacco",6.32,15.54,6.06,27.92,"Invest"
"Informa","INF.L","Media",0.03,3.81,5.48,9.31,"Invest"
"International Airlines Group","IAG.L","Travel & Leisure",7.98,11.4,5.34,24.72,"Invest"
"Intertek","ITRK.L","Support Services",0.07,13.57,6.19,19.83,"Invest"
"Kingfisher plc","KGF.L","Retailers",2.78,4.61,2.73,10.11,"Invest"
"Land Securities","LAND.L","Real Estate Investment Trusts",3.1,2.31,3.97,9.38,"Invest"
"Legal & General","LGEN.L","Life Insurance",1.13,8.18,7.66,16.96,"Invest"
"Lloyds Banking Group","LLOY.L","Banks",0.6,9.05,10.99,20.65,"Invest"
"London Stock Exchange Group","LSEG.L","Financial Services",1.64,7.39,9.46,18.48,"Invest"
"Marks & Spencer","MKS.L","Diversified Retailers",5.62,12.86,4.64,23.12,"Invest"
"Mondi","MNDI.L","Forestry & Paper",6.64,2.12,2.68,11.44,"Invest"
"National Grid plc","NG.L","Gas, Water & Multi-utilities",5.24,6.88,4.74,16.86,"Invest"
"NatWest Group","NWG.L","Banks",0.56,9.11,8.02,17.7,"Invest"
"Next plc","NXT.L","General Retailers",2.37,7.73,5.51,15.62,"Invest"
"Pearson plc","PSON.L","Media",0.02,1.91,4.12,6.03,"Invest"
"Pershing Square Holdings","PSH.L","Financial Services",4.36,9.22,6,19.58,"Invest"
"Prudential plc","PRU.L","Life Insurance",1.99,7.21,6.51,15.71,"Invest"
"Reckitt","RKT.L","Household Goods & Home Construction",6.06,10.27,6.54,22.87,"Invest"
"RELX","REL.L","Media",0.02,1.87,3.35,5.24,"Invest"
"Rentokil Initial","RTO.L","Support Services",2.1,8.52,4.63,15.26,"Invest"
"Rio Tinto","RIO.L","Mining",14.57,10.98,6.57,32.12,"Invest"
"Rolls-Royce Holdings","RR.L","Aerospace & Defence",9.26,13.76,6.1,29.13,"Invest"
"Sage Group","SGE.L","Software & Computer Services",1.21,11.24,5.25,17.7,"Invest"
"Sainsbury's","SBRY.L","Food & Drug Retailers",5.14,8.05,3.93,17.12,"Invest"
"Schroders","SDR.L","Financial Services",1.72,9.22,8.02,18.96,"Invest"
"Scottish Mortgage Investment Trust","SMT.L","Equity Investment Instruments",2.66,10.65,8.2,23.15,"Invest"
"Segro","SGRO.L","Real Estate Investment Trusts",2.29,2.19,5.8,10.29,"Invest"
"Severn Trent","SVT.L","Gas, Water & Multi-utilities",6.06,5.59,3.36,15.01,"Invest"
"Shell plc","SHEL.L","Oil & Gas Producers",19.63,7.83,7.38,34.84,"Invest"
"DS Smith","SMDS.L","General Industrials",8.5,1.38,3.11,12.99,"Invest"
"Smiths Group","SMIN.L","General Industrials",12.98,9.34,4.55,26.87,"Invest"
"Smith & Nephew","SN.L","Health Care Equipment & Services",3.61,13.41,8,25.02,"Invest"
"Smurfit Kappa","SKG.L","General Industrials",7.63,0.66,2.83,11.11,"Invest"
"SSE plc","SSE.L","Electricity",12.86,5.61,4.02,22.48,"Invest"
"Standard Chartered","STAN.L","Banks",0.96,15.34,9.65,25.95,"Invest"
"St. James's Place plc","STJ.L","Financial Services",0.02,9,9.36,18.37,"Invest"
"Taylor Wimpey","TW.L","Household Goods & Home Construction",4.69,3.87,3.98,12.53,"Invest"
"Tesco","TSCO.L","Food & Drug Retailers",5.24,11.36,4.7,21.3,"Invest"
"Unilever","ULVR.L","Personal Goods",5.67,9.05,6.44,21.16,"Invest"
"United Utilities","UU.L","Gas, Water & Multi-utilities",3.83,2.71,4.88,11.42,"Invest"
"Vodafone Group","VOD.L","Mobile Telecommunications",2.53,7.81,5.39,15.73,"Invest"
"Weir Group","WEIR.L","Industrial Goods and Services",5.87,11.65,4.35,21.86,"Invest"
"Whitbread","WTB.L","Retail hospitality",8.62,7.73,3.42,19.77,"Invest"
"WPP plc","WPP.L","Media",0.03,7.28,4.75,12.06,"Invest"
