"Date","GDPUS","GDPUK"
2011-01-01,0.0134248573815317,-0.00570488894032773
2011-04-01,0.00579403978996933,0.00893138619575814
2011-07-01,0.0124350063395979,0.00815769296404991
2011-10-01,0.0143001070743762,0.0125428246507869
2012-01-01,0.00860736065936449,0.000713438065099458
2012-04-01,0.0069368299046437,0.0139527113671069
2012-07-01,0.006181423852546,0.00494271784506784
2012-10-01,0.0138711442137985,0.0116286856306299
2013-01-01,0.00483524063788579,0.00954113530379842
2013-04-01,0.0134589761886272,0.0145698568563567
2013-07-01,0.0140487953229234,0.00784664172202698
2013-10-01,0.000332654355489077,0.0127009959137464
2014-01-01,0.0186518715426413,0.00791280197034009
2014-04-01,0.016309608101329,0.0191457835083706
2014-07-01,0.00605760609221598,0.0042469614457524
2014-10-01,0.00845518825592479,0.00483858677706942
2015-01-01,0.0119719131294888,0.00388424773243347
2015-04-01,0.00666539604625528,0.00693060165931571
2015-07-01,0.00182108907115048,0.011171426487596
2015-10-01,0.00492516003542594,0.00924067380256612
2016-01-01,0.0100275111650247,0.00859861556367795
2016-04-01,0.00966972432545142,0.0135825938725475
2016-07-01,0.0104135795957358,0.0133306701288325
2016-10-01,0.00999011020735657,0.0130133800096191
2017-01-01,0.00822397869220907,0.00708078594972817
2017-04-01,0.0130642864319285,0.00705998280409224
2017-07-01,0.0174935299283816,0.0164096090127183
2017-10-01,0.0145462753869225,0.00282008109148841
2018-01-01,0.0124140168756724,0.00817293032115739
2018-04-01,0.0105834960083401,0.00842967244701349
2018-07-01,0.00572809012857991,0.00959781383129398
2018-10-01,0.00890463640484966,0.00749486069315083
2019-01-01,0.013297963958055,0.0119295077849412
2019-04-01,0.0144732408921767,0.0123069064013181
2019-07-01,0.00959275812861657,0.00532880825885321
2019-10-01,-0.00894317926034558,-0.016985130499179
2020-01-01,-0.0826189816853586,-0.144615312696092
2020-04-01,0.0871031258099236,0.12174748343132
2020-07-01,0.0174089184779496,0.00941784030520848
2020-10-01,0.0261382981553908,-0.00126602486755004
2021-01-01,0.0306270501768016,0.055528501223021
2021-04-01,0.0230380671569505,0.0239818837198245
2021-07-01,0.0346481570985035,0.0260839956939395
2021-10-01,0.0151903885858557,0.0203511465222215
2022-01-01,0.0205823090196234,0.0216715367672059
2022-04-01,0.017630801236739,0.0138904295904735
2022-07-01,0.0159173589600532,0.0222627094859122
