Name,Ticker,Sector,Subsector,ESG Level,ESG,Environment,Social,Governance,Status
AstraZeneca PLC (AZN.L),AZN.L,Healthcare,Drug Manufacturers & General,Medium,23,1.2,14.2,7.4,Invest
BP p.l.c. (BP.L),BP.L,Energy,Oil & Gas Integrated,High,35,17.1,9.5,8.8,Divest
DCC House,DCC.L,Energy,Oil & Gas Refining & Marketing,Medium,28,10.1,7.3,3.9,Divest
GlaxoSmithKline plc (GSK.L),GSK.L,Healthcare,Drug Manufacturers & General,Low,19,1.9,11.2,5.7,Invest
Hikma Pharmaceuticals PLC (HIK.L),HIK.L,Healthcare,Drug Manufacturers & Specialty & Generic,High,32,4,18.7,9.3,Invest
National Grid plc (NG.L),NG.L,Utilities,Utilities & Regulated Electric,Negligible,17,5,7,5,Divest
Shell plc (SHEL.L),SHEL.L,Energy,Oil & Gas Integrated,High,35,19.4,7.8,7.9,Divest
Smith & Nephew plc (SN.L),SN.L,Healthcare,Medical Devices,Medium,25,3.6,13.4,8.3,Invest
SSE plc (SSE.L),SSE.L,Utilities,Utilities—Diversified,Low,23,13,6,4,Divest
Severn Trent Plc (SVT.L),SVT.L,Utilities,Utilities—Regulated Water,Low,15,6.1,5.6,3.5,Divest
United Utilities Group PLC (UU.L),UU.L,Utilities,Utilities—Regulated Water,Low,13,3.7,3.4,5.6,Divest
